"Numéro H-ID",Numéro,Date,"Revue H-ID","Revue RecordTitle"
3214,"26/04/1936 - Annu XVII - Numaru 596",1936,444,"A Muvra"
3227,"03/05/1936 - Annu XVII - Numaru 597",1936,444,"A Muvra"
3241,"10/05/1936 - Annu XVII - Numaru 598",1936,444,"A Muvra"
3251,"17-24/05/1936 - Annu XVII - Numaru 599",1936,444,"A Muvra"
3266,"31/05/1936 - Annu XVII - Numaru 600",1936,444,"A Muvra"
3284,"07/06/1936 - Annu XVII - Numaru 601",1936,444,"A Muvra"
3297,"14/06/1936 - Annu XVII - Numaru 602",1936,444,"A Muvra"
3306,"21/06/1936 - Annu XVII - Numaru 603",1936,444,"A Muvra"
3319,"28/06/1936 - Annu XVII - Numaru 604",1936,444,"A Muvra"
3333,"05-12/07/1936 - Annu XVII - Numaru 605",1936,444,"A Muvra"
3349,"19-26/07/1936 - Annu XVII - Numaru 606",1936,444,"A Muvra"
3360,"02-09/08/1936 - Annu XVII - Numaru 607",1936,444,"A Muvra"
3374,"16-23/08/1936 - Annu XVII - Numaru 608",1936,444,"A Muvra"
3384,"30-13/08-09/1936 - Annu XVII - Numaru 609",1936,444,"A Muvra"
3398,"20-27/09/1936 - Annu XVII - Numaru 610",1936,444,"A Muvra"
3412,"22/11/1936 - Annu XVII - Numaru 611",1936,444,"A Muvra"
3430,"29/11/1936 - Annu XVII - Numaru 612",1936,444,"A Muvra"
3444,"06/12/1936 - Annu XVII - Numaru 613",1936,444,"A Muvra"
3460,"13/12/1936 - Annu XVII - Numaru 614",1936,444,"A Muvra"
3473,"20-27/12/1936 - Annu XVII - Numaru 615",1936,444,"A Muvra"
3483,"03/01/1937 - Annu XVIII - Numaru 616",1937,444,"A Muvra"
3497,"10/01/1937 - Annu XVIII - Numaru 617",1937,444,"A Muvra"
3515,"17-24/01/1937 - Annu XVIII - Numaru 618",1937,444,"A Muvra"
3528,"07/02/1937 - Annu XVIII - Numaru 620",1937,444,"A Muvra"
3543,"14/02/1937 - Annu XVIII - Numaru 621",1937,444,"A Muvra"
3557,"21/02/1937 - Annu XVIII - Numaru 622",1937,444,"A Muvra"
3571,"28/02/1937 - Annu XVIII - Numaru 623",1937,444,"A Muvra"
3583,"07/03/1937 - Annu XVIII - Numaru 624",1937,444,"A Muvra"
3599,"14/03/1937 - Annu XVIII - Numaru 625",1937,444,"A Muvra"
3613,"21-28/03/1937 - Annu XVIII - Numaru 626",1937,444,"A Muvra"
3625,"04/04/1937 - Annu XVIII - Numaru 627",1937,444,"A Muvra"
3637,"11/04/1937 - Annu XVIII - Numaru 628",1937,444,"A Muvra"
3650,"18-25/04/1937 - Annu XVIII - Numaru 629",1937,444,"A Muvra"
3665,"02/05/1937 - Annu XVIII - Numaru 630",1937,444,"A Muvra"
3682,"09/05/1937 - Annu XVIII - Numaru 631",1937,444,"A Muvra"
3691,"16-23/05/1937 - Annu XVIII - Numaru 632",1937,444,"A Muvra"
3702,"30/05/1937 - Annu XVIII - Numaru 633",1937,444,"A Muvra"
3713,"06/06/1937 - Annu XVIII - Numaru 634",1937,444,"A Muvra"
3728,"13/06/1937 - Annu XVIII - Numaru 635",1937,444,"A Muvra"
3744,"20/06/1937 - Annu XVIII - Numaru 636",1937,444,"A Muvra"
3767,"11-18/07/1937 - Annu XVIII - Numaru 638",1937,444,"A Muvra"
3781,"25-01/07-08/1937 - Annu XVIII - Numaru 639",1937,444,"A Muvra"
3792,"27-04/06-07/1937 - Annu XVIII - Numaru 637",1937,444,"A Muvra"
3795,"08-15/08/1937 - Annu XVIII - Numaru 640",1937,444,"A Muvra"
3806,"22-05/08-09/1937 - Annu XVIII - Numaru 641",1937,444,"A Muvra"
3821,"12-19/09/1937 - Annu XVIII - Numaru 642",1937,444,"A Muvra"
3837,"26/09/1937 - Annu XVIII - Numaru 643",1937,444,"A Muvra"
3853,"03/10/1937 - ANnu XVIII - Numaru 644",1937,444,"A Muvra"
3867,"15/10/1937 - Annu XVIII - Numaru 645",1937,444,"A Muvra"
3885,"01/11/1937 - Annu XVIII - Numaru 646",1937,444,"A Muvra"
3902,"15/11/1937 - Annu XVIII - Numaru 647",1937,444,"A Muvra"
3917,"01/12/1937 - Annu XVIII - Numaru 648",1937,444,"A Muvra"
3931,"20/12/1937 - Annu XVIII - Numaru 649",1937,444,"A Muvra"
3946,"01/01/1938 - Annu XIX - Numaru 650",1938,444,"A Muvra"
3960,"10/01/1938 - Annu XIX - Numaru 651",1938,444,"A Muvra"
3976,"20/01/1938 - Annu XIX - Numaru 652",1938,444,"A Muvra"
3990,"01/02/1938 - Annu XIX - Numaru 653",1938,444,"A Muvra"
4001,"10/02/1938 - Annu XIX - Numaru 654",1938,444,"A Muvra"
4013,"20/02/1938 - Annu XIX - Numaru 655",1938,444,"A Muvra"
4027,"01/03/1938 - Annu XIX - Numaru 656",1938,444,"A Muvra"
4036,"10/03/1938 - Annu XIX - Numaru 657",1938,444,"A Muvra"
4049,"01/04/1938 - Annu XIX - Numaru 659",1938,444,"A Muvra"
4070,"10/04/1938 - Annu XIX - Numaru 660",1938,444,"A Muvra"
4080,"20-01/04-05/1938 - Annu XIX - Numaru 661",1938,444,"A Muvra"
4091,"10/05/1938 - Annu XIX - Numaru 662",1938,444,"A Muvra"
4103,"20/05/1938 - Annu XIX - Numaru 663",1938,444,"A Muvra"
4119,"01/06/1938 - Annu XIX - Numaru 664",1938,444,"A Muvra"
4132,"10/06/1938 - Annu XIX - Numaru 665",1938,444,"A Muvra"
4150,"01-07/07/1938 - Annu XIX - Numaru 667",1938,444,"A Muvra"
4167,"15/07/1938 - Annu XiX - Numaru 668",1938,444,"A Muvra"
4181,"01/08/1938 - Annu XIX - Numaru 669",1938,444,"A Muvra"
4194,"20-01/09-10/1938 - Annu XIX - Numaru 673",1938,444,"A Muvra"
4215,"20/10/1938 - Annu XIX - Numaru 675",1938,444,"A Muvra"
4231,"01/11/1938 - Annu XIX - Numaru 676",1938,444,"A Muvra"
4246,"20/11/1938 - Annu XIX - Numaru 678",1938,444,"A Muvra"
4267,"20/02/1939 - Annu XX - Numaru 686",1939,444,"A Muvra"
4281,"10-20/03/1939 - Annu XX - Numaru 688",1939,444,"A Muvra"
4294,"01/04/1939 - Annu XX - Numaru 689",1939,444,"A Muvra"
4304,"10/04/1939 - Annu XX - Numaru 690",1939,444,"A Muvra"
4314,"20/04/1939 - Annu XX - Numaru 691",1939,444,"A Muvra"
4326,"10-15/05/1939 - Annu XX - Numaru 693",1939,444,"A Muvra"
4337,"20-28/05/1939 - Annu XX - Numaru 694",1939,444,"A Muvra"
4350,"01-07/06/1939 - Annu XX - Numaru 695",1939,444,"A Muvra"
4361,"15/06/1939 - Annu XX - Numaru 696",1939,444,"A Muvra"
4372,"01/07/1939 - Annu XX - Numaru 697",1939,444,"A Muvra"
4383,"15/07/1939 - Annu XX - Numaru 698",1939,444,"A Muvra"
4396,"01/08/1939 - Annu XX - Numaru 699",1939,444,"A Muvra"
4408,"15/08/1939 - Annu XX - Numaru 700",1939,444,"A Muvra"
4793,"19/05/1935 - Annu XVI - Numaru 557",1935,444,"A Muvra"
4798,"23/06/1935 - Annu XVI - Numaru 561",1935,444,"A Muvra"
4799,"30/06/1935 - Annu XVI - Numaru 562",1935,444,"A Muvra"
4800,"31/01/1937 - Annu XVIII - Numaru 619",1937,444,"A Muvra"
4801,"20/03/1938 - Annu XIX - Numaru 658",1938,444,"A Muvra"
4802,"20/06/1938 - Annu XIX - Numaru 666",1938,444,"A Muvra"
4804,"15-30/08/1938 - Annu XIX - Numaru 670",1938,444,"A Muvra"
4805,"01/09/1938 - Annu XIX - Numaru 671",1938,444,"A Muvra"
4806,"15/09/1938 - Annu XVI - Numaru 672",1938,444,"A Muvra"
4807,"10/10/1938 - Annu XIX - Numaru 674",1938,444,"A Muvra"
4809,"10/11/1938 - Annu XIX - Numaru 677",1938,444,"A Muvra"
4810,"01/12/1938 - Annu XIX - Numaru 679",1938,444,"A Muvra"
4811,"10-15/12/1938 - Annu XIX - Numaru 680",1938,444,"A Muvra"
4812,"20-25/12/1938 - Annu XIX - Numaru 681",1938,444,"A Muvra"
4813,"01-10/01/1939 - Annu XX - Numaru 682",1939,444,"A Muvra"
4814,"20/01/1939 - Annu XX - Numaru 683",1939,444,"A Muvra"
4815,"01/03/1939 - Annu XX - Numaru 687",1939,444,"A Muvra"
4816,"01/05/1939 - Annu XX - Numaru 692",1939,444,"A Muvra"
4817,"01/01/1934 - Annu XV - Numaru 509",1934,444,"A Muvra"
4818,"20/01/1934 - Annu XV - Numaru 511",1934,444,"A Muvra"
